route_id,catchment,frequency (veh/hours),fleet,length (m),num station,veh.km/h,round trip time (s)
OMITSJU_350,2789.79,2.51,2.0,42180.0,4,111.6,2460.0
OMITSJU_330,7231.54,0.67,1.0,28995.0,8,21.6,2760.0
OMITSJU_325,7592.05,1.01,1.0,53450.0,10,28.8,5040.0
OMITSJU_600,6968.44,3.13,4.0,71398.0,5,194.4,4500.0
OMITSJU_3,12851.07,2.68,2.0,9871.0,42,28.8,1440.0
OMITSJU_4,6392.93,3.02,2.0,9680.0,37,32.4,1380.0
OMITSJU_1,2555.6,3.35,2.0,8329.0,27,28.8,1380.0
OMITSJU_6,13461.31,,0.0,9892.0,42,0.0,1380.0
OMITSJU_5,11757.36,3.02,2.0,8868.0,32,28.8,1440.0
OMITSJU_7,13110.65,,0.0,10156.0,46,0.0,1500.0
MRCLASSO_400,61685.15,1.63,8.0,150700.0,390,154.8,18900.0
MRCLASSO_200,9965.42,0.67,1.0,45559.0,6,18.0,3300.0
MRCLASSO_5,18719.29,1.01,1.0,22242.0,155,14.4,3120.0
MRCLASSO_8,36760.96,0.67,1.0,80374.0,289,21.6,10140.0
MRCLASSO_14,24650.94,0.83,2.0,107087.0,380,54.0,11580.0
MRCLASSO_2,6692.26,0.67,1.0,61828.0,95,14.4,5100.0
MRCLASSO_11,25515.33,0.85,2.0,108976.0,425,46.8,12720.0
MRCLASSO_9,18446.47,0.67,1.0,88917.0,216,18.0,10200.0
MRCLASSO_1,34951.21,0.84,2.0,60099.0,209,36.0,8160.0
MRCLASSO_100,57132.08,0.67,1.0,94734.0,232,28.8,10200.0
MRCLASSO_300,59461.91,0.89,3.0,84242.0,250,79.2,9660.0
MRCLASSO_15,17895.59,0.83,2.0,27305.0,112,25.2,3300.0
MRCLASSO_T3,318.31,3.35,1.0,6844.0,15,25.2,480.0
MRCLASSO_6,8582.77,,0.0,16372.0,35,0.0,1800.0
CITVR_27,13059.23,1.34,1.0,8876.0,26,14.4,1080.0
CITVR_200,31870.59,1.47,6.0,415957.0,461,216.0,35154.0
CITVR_26,3885.41,1.34,1.0,4598.0,19,7.2,900.0
CITVR_300,27362.11,1.01,2.0,129424.0,120,93.6,9534.0
CITVR_24,4834.04,1.34,1.0,7115.0,28,10.8,1380.0
CITVR_82,12368.71,,0.0,11771.0,35,0.0,1620.0
CITVR_83,13786.43,0.67,1.0,10384.0,39,7.2,1440.0
CITVR_23,13681.03,1.34,1.0,11383.0,50,18.0,1440.0
CITVR_22,7505.85,1.34,1.0,10163.0,36,14.4,1500.0
CITVR_21,5765.59,1.34,1.0,10579.0,39,14.4,1320.0
CITVR_11,14082.77,,0.0,51890.0,135,0.0,6540.0
CITVR_84,9399.72,0.67,1.0,10395.0,41,7.2,1440.0
CITVR_20B,14999.06,1.34,1.0,10075.0,41,14.4,1440.0
CITVR_12,11599.18,0.67,1.0,18452.0,50,14.4,2700.0
CITVR_85,9100.81,,0.0,10030.0,28,0.0,1560.0
CITVR_201,15964.27,1.77,3.0,59821.0,34,111.6,4080.0
CITVR_20M,6374.06,1.34,1.0,5608.0,30,10.8,840.0
CITVR_25,1598.0,1.34,1.0,2856.0,4,7.2,360.0
CITSV_722,20462.92,1.0,3.0,81047.0,88,86.4,6840.0
CITSV_710,3903.42,,0.0,44191.0,12,0.0,2400.0
CITSV_700,24210.67,1.0,7.0,323163.0,308,248.4,24420.0
CITSV_723,5254.09,0.67,2.0,52146.0,26,39.6,2760.0
CITSV_709,7604.68,0.67,1.0,77365.0,10,54.0,4080.0
CITSV_732,7120.07,,0.0,73356.0,57,0.0,4200.0
CITSV_705,7504.08,1.27,3.0,151024.0,17,208.8,7080.0
CITSV_720,17028.55,0.67,1.0,28218.0,54,21.6,2580.0
CITSV_724,8265.07,1.47,2.0,40365.0,10,50.4,2700.0
CITSV_721,15120.85,1.01,3.0,79965.0,110,86.4,7140.0
CITSV_370,4359.0,1.34,1.0,24350.0,74,36.0,2520.0
CITSV_731,9355.0,0.67,2.0,83955.0,138,57.6,6240.0
CITSV_733,5266.85,0.67,1.0,30394.0,16,21.6,1800.0
CITSV_730,8326.99,,0.0,50182.0,58,0.0,3660.0
CITSV_708,7242.86,,0.0,85705.0,8,0.0,4200.0
CITSV_707,5881.94,0.67,1.0,86380.0,8,61.2,3900.0
SJSR_96SE,6156.19,4.0,3.0,37123.5,2,151.2,2417.0
SJSR_96A,20582.15,1.0,2.0,86438.2,108,90.0,6637.0
SJSR_96E,15587.98,4.0,4.0,77997.0,53,158.4,6246.0
SJSR_96L,32211.72,,0.0,82623.2,103,0.0,10466.0
STM_21,14610.47,1.68,2.0,8750.16,21,18.0,1380.0
STM_777,179.0,4.02,2.0,3208.62,4,14.4,720.0
